2014-11-24 08:02:58 HKT 致命错误:  数据库系统启动中
2014-11-24 08:02:58 HKT 日志:  数据库上次关闭时间为 2014-11-22 17:35:23 HKT
2014-11-24 08:02:58 HKT 日志:  数据库系统准备接受连接
2014-11-24 08:02:58 HKT 日志:  已启动autovacuum
2014-11-24 08:06:58 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:33:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:34:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:35:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:36:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:37:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:38:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:39:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:40:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:41:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:42:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:43:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:44:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:45:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:46:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:47:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:48:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:49:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:50:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:51:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:52:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:53:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:54:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:55:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:56:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:57:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:58:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 08:59:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:00:59 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:02:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:03:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:04:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:05:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:06:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:07:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:08:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:09:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:10:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:11:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:12:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:13:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:14:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:15:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:16:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:17:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:18:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:19:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:20:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:21:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:22:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:23:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:24:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:25:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:26:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:27:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:28:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:29:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:30:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:31:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:32:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:33:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:34:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:35:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:36:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:37:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:38:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:39:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:40:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:41:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:42:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:43:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:44:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:45:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:46:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:47:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:48:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:49:00 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:50:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:51:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:52:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:53:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:54:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:55:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:56:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:57:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:58:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 09:59:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:00:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:01:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:02:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:03:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:04:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:05:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:06:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:07:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:08:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:09:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:10:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:11:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:12:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:13:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:14:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:15:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:16:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:17:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:18:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:19:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:20:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:21:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:22:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:23:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:24:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:25:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:26:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:27:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:28:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:29:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:30:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:31:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:32:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:33:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:34:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:35:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:36:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:37:01 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:38:02 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:39:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:40:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:41:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:42:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:43:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:44:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:45:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:46:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:47:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:48:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:49:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:50:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:51:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:52:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:53:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:54:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:55:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:56:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:57:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:58:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 10:59:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:00:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:01:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:02:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:03:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:04:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:05:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:06:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:07:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:08:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:09:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:10:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:11:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:12:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:13:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:14:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:15:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:16:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:17:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:18:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:19:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:20:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:21:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:22:22 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:23:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:24:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:25:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:26:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:27:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:28:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:29:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:30:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:31:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:32:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:33:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:34:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:35:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:36:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:37:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:38:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:39:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:40:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:41:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:42:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:43:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:44:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:45:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:46:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:47:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:48:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:49:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:50:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:51:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:52:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:53:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:54:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:55:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:56:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:57:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:58:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 11:59:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:00:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:01:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:02:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:03:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:04:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:05:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:06:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:07:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:08:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:09:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:10:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:11:23 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:12:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:13:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:14:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:15:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:16:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:17:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:18:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:19:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:20:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:21:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:22:24 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:23:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:24:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:25:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:26:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:27:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:28:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:29:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:30:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:31:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:32:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:33:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:34:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:35:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:36:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:37:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:38:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:39:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:40:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:41:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:42:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:43:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:44:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:45:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:46:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:47:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:48:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:49:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:50:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:51:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:52:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:53:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:54:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:55:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:56:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:57:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:58:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 12:59:44 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:00:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:01:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:02:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:03:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:04:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:05:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:06:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:07:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:08:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:09:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:10:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:11:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:12:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:13:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:14:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:15:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:16:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:17:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:18:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:19:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:20:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:21:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:22:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:23:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:24:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:25:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:26:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:27:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:28:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:29:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:30:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:31:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:32:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:33:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:34:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:35:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:36:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:37:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:38:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:39:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:40:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:41:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:42:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:43:45 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:44:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:45:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:46:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:47:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:48:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:49:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:50:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:51:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:52:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:53:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:54:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:55:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:56:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:57:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:58:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 13:59:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:00:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:01:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:02:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:03:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:04:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:05:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:06:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:07:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:08:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:09:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:10:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:11:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:12:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:13:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:14:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:15:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:16:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:17:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:18:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:19:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:20:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:21:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:23:06 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:24:06 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:25:26 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:26:26 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:27:26 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:28:46 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:29:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:30:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:31:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:32:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:33:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:34:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:35:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:36:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:37:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:38:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:39:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:40:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:41:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:42:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:43:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:44:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:45:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:46:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:47:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:48:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:49:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:50:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:51:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:52:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:53:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:54:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:55:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:56:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:57:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:58:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 14:59:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 15:00:47 HKT 警告:  worker took too long to start; canceled
2014-11-24 15:01:47 HKT 警告:  worker took too long to start; canceled
